policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,deadline_sweep_ms
oracle_feasible,stable,107,50.0,1000,24.88557902804772,33.83424628214373,34.89267109559948,34.9936438529993,24.88557902804772,0.0,0.7245133185042392,0.7245133185042392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,108,50.0,1000,25.235897183714567,34.2868707566229,34.87218349603604,34.989690121554816,25.235897183714567,0.0,0.7254394152220247,0.7254394152220247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,108,50.0,1000,75.23589718371457,84.2868707566229,84.87218349603604,84.98969012155482,75.23589718371457,1.0,0.7254394152220247,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.988,0.0,0.0,0.988,0.0,0.012,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,108,50.0,1000,75.23589718371457,84.2868707566229,84.87218349603604,84.98969012155482,75.23589718371457,1.0,0.7254394152220247,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.987,0.0,0.0,0.987,0.0,0.013,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,108,50.0,1000,25.235897183714567,34.2868707566229,34.87218349603604,34.989690121554816,25.235897183714567,0.0,0.7254394152220247,0.7254394152220247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,108,50.0,1000,25.235897183714567,34.2868707566229,34.87218349603604,34.989690121554816,25.235897183714567,0.0,0.7254394152220247,0.7254394152220247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,108,50.0,1000,25.235897183714567,34.2868707566229,34.87218349603604,34.989690121554816,25.235897183714567,0.0,0.7254394152220247,0.7254394152220247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,108,50.0,1000,25.235897183714567,34.2868707566229,34.87218349603604,34.989690121554816,25.235897183714567,0.0,0.7254394152220247,0.7254394152220247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,108,50.0,1000,25.235897183714567,34.2868707566229,34.87218349603604,34.989690121554816,25.235897183714567,0.0,0.7254394152220247,0.7254394152220247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,109,50.0,1000,25.268964708760926,34.15910526808331,34.79620852522923,34.94284900848466,25.268964708760926,0.0,0.7225069831603355,0.7225069831603355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,109,50.0,1000,75.26896470876093,84.15910526808331,84.79620852522922,84.94284900848466,75.26896470876093,1.0,0.7225069831603355,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.987,0.0,0.0,0.987,0.0,0.013,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,109,50.0,1000,75.26896470876093,84.15910526808331,84.79620852522922,84.94284900848466,75.26896470876093,1.0,0.7225069831603355,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.995,0.0,0.0,0.995,0.0,0.005,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,109,50.0,1000,25.268964708760926,34.15910526808331,34.79620852522923,34.94284900848466,25.268964708760926,0.0,0.7225069831603355,0.7225069831603355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
