deadline_sweep_ms,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
50.0,congested,confidence_deadline,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,congested,confidence_deadline,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,p95_latency_ms,33.94268972592376,0.09803104261482531,33.906854831430806,33.97630119170664,30
50.0,congested,rtt_threshold,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748642896298946,34.7879694671568,30
50.0,congested,rtt_threshold,mean_latency_ms,25.012597088142645,0.18113657767527264,24.949225112390963,25.077791277753096,30
50.0,congested,rtt_threshold,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,rtt_threshold,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,rtt_threshold,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,congested,rtt_threshold,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
