bias_target,bias,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
rtt,-0.2,variable,dapper,mean_latency_ms,20.940446707168096,0.7350940723083381,20.683336067108257,21.199328671737284,30
rtt,-0.2,variable,dapper,usable_confidence_proxy,0.7315327792840012,0.0025047865419971973,0.730630043265056,0.7323686534291781,30
rtt,-0.2,variable,dapper,mean_output_confidence,0.7255990845494175,0.001961270671757357,0.7249273980970206,0.7262792520187936,30
rtt,-0.2,variable,dapper,bandwidth_per_1000_frames_kb,10559.166666666666,803.9901390428622,10291.666666666666,10849.1875,30
rtt,-0.2,variable,dapper,remote_attempt_rate,0.42236666666666667,0.03215960556171449,0.4116666666666667,0.43396749999999995,30
rtt,-0.2,variable,dapper,remote_accept_rate,0.08721235385912156,0.018167879302723476,0.08087301126404021,0.09362775333350223,30
rtt,-0.2,variable,dapper,remote_accepted_per_frame,0.03679999999999999,0.008243701880202556,0.03400000000000001,0.03976666666666666,30
rtt,-0.2,variable,dapper,remote_rejected_deadline_rate,0.8414774876516037,0.020643917892433094,0.8340492184308853,0.8487215100092439,30
rtt,-0.2,variable,dapper,remote_failed_loss_rate,0.07131015848927466,0.011873110467991268,0.06721698570291232,0.07547413079091979,30
rtt,-0.2,variable,dapper,fallback_rate,0.218,0.040093855406774126,0.2041991666666667,0.23230083333333335,30
rtt,-0.2,variable,dapper,reuse_rate,0.1668666666666667,0.030431079092149253,0.15633333333333335,0.17766666666666667,30
rtt,-0.2,variable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
rtt,-0.2,variable,dapper,mode_switches_per_1000,374.2,15.724788250314896,368.73333333333335,379.4675,30
rtt,-0.2,variable,dapper,pct_local_fast,41.07666666666667,2.757270431039556,40.10000000000001,42.05333333333333,30
rtt,-0.2,variable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
rtt,-0.2,variable,dapper,pct_hybrid,42.23666666666667,3.215960556171449,41.16666666666666,43.39674999999999,30
rtt,-0.2,variable,dapper,pct_degraded_safe,16.686666666666664,3.043107909214925,15.633333333333333,17.766666666666666,30
rtt,-0.1,stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
rtt,-0.1,stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
rtt,-0.1,stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
rtt,-0.1,stable,dapper,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
rtt,-0.1,stable,dapper,usable_confidence_proxy,0.7959976928158301,0.0030581965746421004,0.7949187491188087,0.7970282591916404,30
rtt,-0.1,stable,dapper,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
rtt,-0.1,stable,dapper,bandwidth_per_1000_frames_kb,21621.666666666668,335.8425671130112,21501.645833333336,21735.0,30
rtt,-0.1,stable,dapper,remote_attempt_rate,0.8648666666666667,0.013433702684520463,0.8600658333333333,0.8694,30
rtt,-0.1,stable,dapper,remote_accept_rate,0.5119299636219802,0.019710509684781493,0.5048710537106218,0.5185291640553195,30
rtt,-0.1,stable,dapper,remote_accepted_per_frame,0.4427,0.01712862093609448,0.43670000000000003,0.44869999999999993,30
rtt,-0.1,stable,dapper,remote_rejected_deadline_rate,0.47690963533308023,0.018550469460783117,0.47058399999723577,0.48349712111243753,30
