policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,bias_target,rtt_estimate_bias,compute_estimate_bias,bias
dapper,variable,101,100.0,1000,19.873228370530978,33.51859359353788,34.716729365681125,34.99816501848515,21.67319556686236,0.0,0.7274041929596399,0.7318557700222086,2100.0,2.1,2100.0,0.256,0.2,0.0,0.084,0.8928571428571429,0.3333333333333333,0.028,0.5595238095238095,0.0,0.10714285714285714,0.0,71.6,0.0,8.4,20.0,232,232.0,compute,0.0,0.2,0.2
dapper,variable,102,100.0,1000,21.725835154751234,33.952084801243224,34.85412725538718,34.995332379528136,23.801596336286007,0.0,0.7253923428217819,0.7306922696277939,2350.0,2.35,2350.0,0.167,0.131,0.0,0.094,0.8829787234042553,0.32978723404255317,0.031,0.5531914893617021,0.0,0.11702127659574468,0.0,77.5,0.0,9.4,13.100000000000001,188,188.0,compute,0.0,0.2,0.2
dapper,variable,103,100.0,1000,19.512093113412188,33.581179869308166,34.6745142049723,34.99051342908312,20.901079853461503,0.0,0.7261937654458711,0.7295550593738621,2100.0,2.1,2100.0,0.315,0.239,0.0,0.084,0.8690476190476191,0.25,0.021,0.6190476190476191,0.0,0.13095238095238096,0.0,67.7,0.0,8.4,23.9,259,259.0,compute,0.0,0.2,0.2
dapper,variable,104,100.0,1000,21.518439904160722,33.92297556550541,34.71580596411837,34.944614204784195,23.12434413325755,0.0,0.7272218707282757,0.7310638601204766,2050.0,2.05,2050.0,0.187,0.143,0.0,0.082,0.9512195121951219,0.3048780487804878,0.025,0.6463414634146342,0.0,0.04878048780487805,0.0,77.5,0.0,8.200000000000001,14.299999999999999,196,196.0,compute,0.0,0.2,0.2
dapper,variable,105,100.0,1000,20.409246302565197,33.52133876628223,34.7773651787171,34.98077376103997,22.219991290204796,0.0,0.726150768098847,0.73038489426482,2200.0,2.2,2200.0,0.238,0.184,0.0,0.088,0.9431818181818182,0.3068181818181818,0.027,0.6363636363636364,0.0,0.056818181818181816,0.0,72.8,0.0,8.799999999999999,18.4,230,230.0,compute,0.0,0.2,0.2
dapper,variable,106,100.0,1000,21.59372391817589,33.5305156645498,34.67586933903363,34.993851868805095,23.556302962306166,0.0,0.7255234671581106,0.7306928547987293,2000.0,2.0,2000.0,0.175,0.136,0.0,0.08,0.95,0.3875,0.031,0.5625,0.0,0.05,0.0,78.4,0.0,8.0,13.600000000000001,171,171.0,compute,0.0,0.2,0.2
dapper,variable,107,100.0,1000,20.056441701403287,33.56666120695883,34.6268453225655,34.98148819897819,20.954908777041638,0.0,0.7240116849833446,0.726214248626813,1275.0,1.275,1275.0,0.261,0.201,0.0,0.051,0.9215686274509803,0.27450980392156865,0.014,0.6470588235294118,0.0,0.0784313725490196,0.0,74.8,0.0,5.1,20.1,219,219.0,compute,0.0,0.2,0.2
dapper,variable,108,100.0,1000,20.480881005394448,33.99159903353784,34.77692101060002,34.94872090187498,21.939987994369673,0.0,0.7260048286422379,0.730061289226754,2150.0,2.15,2150.0,0.26,0.196,0.0,0.086,0.9418604651162791,0.26744186046511625,0.023,0.6744186046511628,0.0,0.05813953488372093,0.0,71.8,0.0,8.6,19.6,234,234.0,compute,0.0,0.2,0.2
dapper,variable,109,100.0,1000,21.210997956041414,33.76823065319891,34.76110730262953,34.98660651522982,22.40955629048601,0.0,0.7239038673745836,0.7265135509182867,1325.0,1.325,1325.0,0.203,0.156,0.0,0.053,0.9433962264150944,0.33962264150943394,0.018,0.6037735849056604,0.0,0.05660377358490566,0.0,79.10000000000001,0.0,5.3,15.6,191,191.0,compute,0.0,0.2,0.2
dapper,variable,110,100.0,1000,20.982663888093814,33.908831310824965,34.67822534775889,34.98146709760653,22.085266418346485,0.0,0.7252583766377324,0.7277534167891464,1425.0,1.425,1425.0,0.226,0.171,0.0,0.057,0.9298245614035088,0.2982456140350877,0.017,0.631578947368421,0.0,0.07017543859649122,0.0,77.2,0.0,5.7,17.1,196,196.0,compute,0.0,0.2,0.2
dapper,variable,111,100.0,1000,21.15036747714493,33.79838354481562,34.723349040720166,34.97684653932659,22.86958531904845,0.0,0.7256303758132654,0.7298770924409177,2100.0,2.1,2100.0,0.216,0.166,0.0,0.084,0.9047619047619048,0.32142857142857145,0.027,0.5833333333333334,0.0,0.09523809523809523,0.0,75.0,0.0,8.4,16.6,220,220.0,compute,0.0,0.2,0.2
dapper,variable,112,100.0,1000,21.078172240720427,34.0565418294024,34.79412676903375,34.95854802039493,22.84407522896619,0.0,0.728773769620013,0.732624918258034,2075.0,2.075,2075.0,0.215,0.162,0.0,0.083,0.927710843373494,0.3253012048192771,0.027,0.6024096385542169,0.0,0.07228915662650602,0.0,75.5,0.0,8.3,16.2,215,215.0,compute,0.0,0.2,0.2
dapper,variable,113,100.0,1000,21.273906223598555,33.57682626381407,34.78843892853948,34.96829040868747,22.54334418556592,0.0,0.7261559614607069,0.7290931387141488,1825.0,1.825,1825.0,0.197,0.15,0.0,0.073,0.9452054794520548,0.2602739726027397,0.019,0.684931506849315,0.0,0.0547945205479452,0.0,77.7,0.0,7.3,15.0,188,188.0,compute,0.0,0.2,0.2
dapper,variable,114,100.0,1000,19.651478679764644,33.53883646549626,34.61117657596823,34.99588156157893,20.915236786939598,0.0,0.7222741502329159,0.7251844028547563,1500.0,1.5,1500.0,0.266,0.205,0.0,0.06,0.9,0.3333333333333333,0.02,0.5666666666666667,0.0,0.1,0.0,73.5,0.0,6.0,20.5,235,235.0,compute,0.0,0.2,0.2
dapper,variable,115,100.0,1000,21.45827282696581,33.34691437699113,34.626745067103904,34.87718954629805,23.385222756894784,0.0,0.7230935571850724,0.727747082491414,1825.0,1.825,1825.0,0.176,0.137,0.0,0.073,0.863013698630137,0.3972602739726027,0.029,0.4657534246575342,0.0,0.136986301369863,0.0,79.0,0.0,7.3,13.700000000000001,195,195.0,compute,0.0,0.2,0.2
dapper,variable,116,100.0,1000,20.840460970931165,33.98344969197258,34.76841725790863,34.94714462527301,21.984392375497155,0.0,0.7289372186607409,0.732008535395459,1725.0,1.725,1725.0,0.239,0.184,0.0,0.069,0.9130434782608695,0.2463768115942029,0.017,0.6666666666666666,0.0,0.08695652173913043,0.0,74.7,0.0,6.9,18.4,227,227.0,compute,0.0,0.2,0.2
dapper,variable,117,100.0,1000,22.76021868961211,34.240173789397694,34.82080355680936,34.990866631104254,23.615251335964093,0.0,0.7236897900442029,0.7260013765844434,1750.0,1.75,1750.0,0.132,0.1,0.0,0.07,0.9142857142857143,0.18571428571428572,0.013,0.7285714285714285,0.0,0.08571428571428572,0.0,83.0,0.0,7.000000000000001,10.0,158,158.0,compute,0.0,0.2,0.2
dapper,variable,118,100.0,1000,21.19990772515089,33.5101571170854,34.37942051281876,34.868091607089696,23.591234469284533,0.0,0.7251742139285398,0.7306215377814808,2775.0,2.775,2775.0,0.193,0.148,0.0,0.111,0.918918918918919,0.3153153153153153,0.035,0.6036036036036037,0.0,0.08108108108108109,0.0,74.1,0.0,11.1,14.799999999999999,237,237.0,compute,0.0,0.2,0.2
