swept_parameter,swept_value,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
risk_local_threshold,0.35,stable,dapper,pct_local_fast,13.513333333333334,1.3433702684520452,13.06,13.993416666666668,30
risk_local_threshold,0.35,stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,stable,dapper,pct_hybrid,86.48666666666666,1.3433702684520459,86.00658333333332,86.93999999999998,30
risk_local_threshold,0.35,stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,p95_latency_ms,33.93663339562628,0.10384597263558462,33.89863800925726,33.97238476351824,30
risk_local_threshold,0.35,congested,dapper,p99_latency_ms,34.76774120719711,0.0574407179719229,34.74658413465894,34.7871629365586,30
risk_local_threshold,0.35,congested,dapper,mean_latency_ms,24.831886454720813,0.19570763546815947,24.76464899629824,24.902166867111045,30
risk_local_threshold,0.35,congested,dapper,usable_confidence_proxy,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
risk_local_threshold,0.35,congested,dapper,mean_output_confidence,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
risk_local_threshold,0.35,congested,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,fallback_rate,0.007433333333333334,0.0027628487713469464,0.006500000000000001,0.008433333333333336,30
risk_local_threshold,0.35,congested,dapper,reuse_rate,0.007433333333333334,0.0027628487713469464,0.006500000000000001,0.008433333333333336,30
risk_local_threshold,0.35,congested,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,congested,dapper,mode_switches_per_1000,11.933333333333334,3.8768395707678267,10.6,13.266666666666667,30
risk_local_threshold,0.35,congested,dapper,pct_local_fast,99.25666666666667,0.27628487713469374,99.15666666666668,99.35000000000004,30
