profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
congested,local_only,reuse_rate,0.0,0.0,0.0,0.0,30
congested,local_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
congested,local_only,remote_attempt_rate,0.0,0.0,0.0,0.0,30
congested,local_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
congested,local_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
congested,local_only,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
congested,local_only,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
congested,local_only,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
congested,local_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
congested,local_only,pct_local_fast,100.0,0.0,100.0,100.0,30
congested,local_only,pct_edge_accurate,0.0,0.0,0.0,0.0,30
congested,local_only,pct_hybrid,0.0,0.0,0.0,0.0,30
congested,local_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
congested,edge_only,mean_latency_ms,125.01259708814266,0.1811365776752744,124.94831415515533,125.07737720340451,30
congested,edge_only,p95_latency_ms,133.9426897259238,0.09803104261482606,133.9057921872592,133.97632892860784,30
congested,edge_only,p99_latency_ms,134.76917894966263,0.055242393825926016,134.74856908309064,134.78755064685268,30
congested,edge_only,deadline_miss_rate,1.0,0.0,1.0,1.0,30
congested,edge_only,usable_confidence_proxy,0.0,0.0,0.0,0.0,30
congested,edge_only,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,edge_only,bandwidth_per_1000_frames_kb,25000.0,0.0,25000.0,25000.0,30
congested,edge_only,bandwidth_per_frame_kb,25.0,0.0,25.0,25.0,30
congested,edge_only,fallback_rate,1.0,0.0,1.0,1.0,30
congested,edge_only,reuse_rate,0.0,0.0,0.0,0.0,30
congested,edge_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
congested,edge_only,remote_attempt_rate,1.0,0.0,1.0,1.0,30
congested,edge_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
congested,edge_only,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
congested,edge_only,remote_rejected_deadline_rate,0.9504666666666668,0.007682193173438355,0.9478000000000001,0.9531666666666664,30
congested,edge_only,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
congested,edge_only,remote_failed_loss_rate,0.04953333333333333,0.007682193173438364,0.04683333333333333,0.052199999999999996,30
congested,edge_only,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
congested,edge_only,pct_local_fast,0.0,0.0,0.0,0.0,30
congested,edge_only,pct_edge_accurate,100.0,0.0,100.0,100.0,30
congested,edge_only,pct_hybrid,0.0,0.0,0.0,0.0,30
congested,edge_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
congested,cloud_only,mean_latency_ms,125.01259708814266,0.1811365776752744,124.94831415515533,125.07737720340451,30
congested,cloud_only,p95_latency_ms,133.9426897259238,0.09803104261482606,133.9057921872592,133.97632892860784,30
congested,cloud_only,p99_latency_ms,134.76917894966263,0.055242393825926016,134.74856908309064,134.78755064685268,30
congested,cloud_only,deadline_miss_rate,1.0,0.0,1.0,1.0,30
congested,cloud_only,usable_confidence_proxy,0.0,0.0,0.0,0.0,30
congested,cloud_only,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,cloud_only,bandwidth_per_1000_frames_kb,35000.0,0.0,35000.0,35000.0,30
congested,cloud_only,bandwidth_per_frame_kb,35.0,0.0,35.0,35.0,30
congested,cloud_only,fallback_rate,1.0,0.0,1.0,1.0,30
congested,cloud_only,reuse_rate,0.0,0.0,0.0,0.0,30
congested,cloud_only,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
congested,cloud_only,remote_attempt_rate,1.0,0.0,1.0,1.0,30
congested,cloud_only,remote_accept_rate,0.0,0.0,0.0,0.0,30
