metric,policy_a,policy_b,profile,n_seeds,mean_diff,ci_lo,ci_hi,std,excludes_zero,a_mean,b_mean
p95_latency_ms,dapper,deadline_greedy,congested,30,-0.006056330297488207,-0.011467731221755113,-0.0018764352867677967,0.01374405858321338,True,33.93663339562628,33.94268972592376
usable_confidence_proxy,dapper,deadline_greedy,congested,30,3.438769835493553e-05,-3.289185139498181e-05,0.0001007471911412309,0.0001905537198935076,False,0.724962592880273,0.7249282051819181
bandwidth_per_1000_frames_kb,dapper,deadline_greedy,congested,30,2.5,0.0,5.833333333333333,7.628214415734117,False,2.5,0.0
mean_latency_ms,dapper,deadline_greedy,congested,30,-0.18071063342183205,-0.20583783043820453,-0.15587085823663646,0.07144776170972846,True,24.831886454720813,25.012597088142645
deadline_miss_rate,dapper,confidence_deadline,congested,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,confidence_deadline,congested,30,-0.006056330297488207,-0.011467731221755113,-0.0018764352867677967,0.01374405858321338,True,33.93663339562628,33.94268972592376
usable_confidence_proxy,dapper,confidence_deadline,congested,30,3.438769835493553e-05,-3.289185139498181e-05,0.0001007471911412309,0.0001905537198935076,False,0.724962592880273,0.7249282051819181
bandwidth_per_1000_frames_kb,dapper,confidence_deadline,congested,30,2.5,0.0,5.833333333333333,7.628214415734117,False,2.5,0.0
mean_latency_ms,dapper,confidence_deadline,congested,30,-0.18071063342183205,-0.20583783043820453,-0.15587085823663646,0.07144776170972846,True,24.831886454720813,25.012597088142645
deadline_miss_rate,dapper,rtt_threshold,congested,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,rtt_threshold,congested,30,-0.006056330297488207,-0.011467731221755113,-0.0018764352867677967,0.01374405858321338,True,33.93663339562628,33.94268972592376
usable_confidence_proxy,dapper,rtt_threshold,congested,30,3.438769835493553e-05,-3.289185139498181e-05,0.0001007471911412309,0.0001905537198935076,False,0.724962592880273,0.7249282051819181
bandwidth_per_1000_frames_kb,dapper,rtt_threshold,congested,30,2.5,0.0,5.833333333333333,7.628214415734117,False,2.5,0.0
mean_latency_ms,dapper,rtt_threshold,congested,30,-0.18071063342183205,-0.20583783043820453,-0.15587085823663646,0.07144776170972846,True,24.831886454720813,25.012597088142645
deadline_miss_rate,dapper,oracle_feasible,congested,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,oracle_feasible,congested,30,-0.006056330297488207,-0.011467731221755113,-0.0018764352867677967,0.01374405858321338,True,33.93663339562628,33.94268972592376
usable_confidence_proxy,dapper,oracle_feasible,congested,30,3.438769835493553e-05,-3.289185139498181e-05,0.0001007471911412309,0.0001905537198935076,False,0.724962592880273,0.7249282051819181
bandwidth_per_1000_frames_kb,dapper,oracle_feasible,congested,30,2.5,0.0,5.833333333333333,7.628214415734117,False,2.5,0.0
mean_latency_ms,dapper,oracle_feasible,congested,30,-0.18071063342183205,-0.20583783043820453,-0.15587085823663646,0.07144776170972846,True,24.831886454720813,25.012597088142645
deadline_miss_rate,dapper,local_only,lossy,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,local_only,lossy,30,0.0,0.0,0.0,0.0,False,34.012278154614826,34.012278154614826
usable_confidence_proxy,dapper,local_only,lossy,30,0.015793998188488256,0.015148566689305457,0.016467538178803906,0.0018739904946878288,True,0.7405908249005024,0.7247968267120143
bandwidth_per_1000_frames_kb,dapper,local_only,lossy,30,18126.666666666668,17975.0,18280.833333333332,439.9222763118529,True,18126.666666666668,0.0
