variant,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
dapper_full,congested,129,100.0,1000,24.599702966215787,33.90591045177916,34.77957296022762,34.981958638619645,24.599702966215787,0.0,0.7227863941222297,0.7227863941222297,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,1.3,20,20.0
dapper_full,lossy,100,100.0,1000,25.284238375351617,34.04718924628941,34.84826155800029,34.98907189172226,31.857325313088005,0.0,0.7261089761349956,0.7418683904352356,18000.0,18.0,18000.0,0.0,0.0,0.0,0.72,0.8111111111111111,0.13055555555555556,0.094,0.6805555555555556,0.0,0.18888888888888888,0.0,28.000000000000004,0.0,72.0,0.0,364,364.0
dapper_full,lossy,101,100.0,1000,25.059527190349893,34.120642165867906,34.8265496982896,34.99538718567808,31.68360404093288,0.0,0.7233638220296621,0.7383227658545507,17675.0,17.675,17675.0,0.0,0.0,0.0,0.707,0.8330975954738331,0.13295615275813297,0.094,0.7001414427157001,0.0,0.1669024045261669,0.0,29.299999999999997,0.0,70.7,0.0,366,366.0
dapper_full,lossy,102,100.0,1000,24.993003502753638,33.78557770295638,34.81151542684563,34.990087052311324,30.926238985640797,0.0,0.7247993890094673,0.7385327568542848,17225.0,17.225,17225.0,0.0,0.0,0.0,0.689,0.8113207547169812,0.12336719883889695,0.085,0.6879535558780842,0.0,0.18867924528301888,0.0,31.1,0.0,68.89999999999999,0.0,390,390.0
dapper_full,lossy,103,100.0,1000,25.072925546868568,34.23372242321619,34.794279965090745,34.9768308072483,32.53725996440561,0.0,0.7255664298957895,0.7431153918263849,18675.0,18.675,18675.0,0.0,0.0,0.0,0.747,0.7991967871485943,0.14457831325301204,0.108,0.6546184738955824,0.0,0.20080321285140562,0.0,25.3,0.0,74.7,0.0,340,340.0
dapper_full,lossy,104,100.0,1000,24.952721574773207,33.7641107522445,34.821547122134376,34.99174516374082,32.954498342235674,0.0,0.725270205207262,0.7428455742749839,18200.0,18.2,18200.0,0.0,0.0,0.0,0.728,0.8063186813186813,0.15796703296703296,0.115,0.6483516483516484,0.0,0.1936813186813187,0.0,27.200000000000003,0.0,72.8,0.0,362,362.0
dapper_full,lossy,105,100.0,1000,25.095152971928933,33.826524025580916,34.67873591147265,34.99594666457182,31.650482579457197,0.0,0.7248747477212536,0.7392192203397958,18825.0,18.825,18825.0,0.0,0.0,0.0,0.753,0.8273572377158035,0.12350597609561753,0.093,0.703851261620186,0.0,0.17264276228419656,0.0,24.7,0.0,75.3,0.0,344,344.0
dapper_full,lossy,106,100.0,1000,24.856568122610433,33.832964597231225,34.72189143706977,34.99784375073101,31.50890321788417,0.0,0.7235813767870335,0.7392206310961336,17800.0,17.8,17800.0,0.0,0.0,0.0,0.712,0.8539325842696629,0.13342696629213482,0.095,0.7205056179775281,0.0,0.14606741573033707,0.0,28.799999999999997,0.0,71.2,0.0,389,389.0
dapper_full,lossy,107,100.0,1000,24.68158080592215,34.00414573371424,34.83973190471446,34.99325658145116,31.19660512918917,0.0,0.7241940517114336,0.7388308468489646,18025.0,18.025,18025.0,0.0,0.0,0.0,0.721,0.8099861303744799,0.1276005547850208,0.092,0.6823855755894591,0.0,0.1900138696255201,0.0,27.900000000000002,0.0,72.1,0.0,354,354.0
dapper_full,lossy,108,100.0,1000,25.047265262517854,34.05795037600457,34.73288919337191,34.96757252768798,31.073612955374518,0.0,0.7235643813542582,0.7373909269007133,18325.0,18.325,18325.0,0.0,0.0,0.0,0.733,0.810368349249659,0.11732605729877217,0.086,0.6930422919508867,0.0,0.18963165075034105,0.0,26.700000000000003,0.0,73.3,0.0,364,364.0
dapper_full,lossy,109,100.0,1000,24.775139056545807,34.049418286887835,34.7919194149339,34.94624843509132,31.96287960801317,0.0,0.7212325912059436,0.7383365724449257,18500.0,18.5,18500.0,0.0,0.0,0.0,0.74,0.827027027027027,0.13783783783783785,0.102,0.6891891891891891,0.0,0.17297297297297298,0.0,26.0,0.0,74.0,0.0,324,324.0
dapper_full,lossy,110,100.0,1000,25.004520730247734,33.8683404853258,34.86997539103268,34.98456857838196,32.44878696120915,0.0,0.7268739784421301,0.7433964854715304,17950.0,17.95,17950.0,0.0,0.0,0.0,0.718,0.7813370473537604,0.14623955431754876,0.105,0.6350974930362117,0.0,0.21866295264623956,0.0,28.199999999999996,0.0,71.8,0.0,380,380.0
dapper_full,lossy,111,100.0,1000,24.90307640535743,34.14835345167596,34.756755348825656,34.981698697795565,31.661618369672937,0.0,0.7248703254305311,0.7398456220643752,18200.0,18.2,18200.0,0.0,0.0,0.0,0.728,0.8008241758241759,0.1346153846153846,0.098,0.6662087912087912,0.0,0.19917582417582416,0.0,27.200000000000003,0.0,72.8,0.0,341,341.0
